M14449.0	또는 맹획대를 7번 괴멸시킨다
M15851.0	{C:25b}{V:79}{C:32b}의 {V:7A} 성과는⏎생각 이상이었어요
M15852.0	지도한 보람도 없이⏎{V:7A}의 성과는⏎없었습니다
M15853.0	아쉽구나⏎{V:7A}의 성과는⏎전혀 오르지 않았다
M15854.0	뭐가 잘못됐던 걸까요⏎{V:7A}의 성과는 전무했어요
M15855.0	{V:7A}에 대해서는⏎조금이나마⏎성과가 보였습니다
M15856.0	{V:7A}에 대해서는⏎아주 조금이지만⏎성과가 보였구나
M15857.0	{V:7A}에 대해서는⏎아주 조금이었지만 성과가 보였네요
M15858.0	{V:7A}의 성과는⏎순조롭게 오르고 있다고⏎할 수 있습니다
M15859.0	{V:7A}의 성과는⏎그럭저럭 괜찮구나
M15860.0	{V:7A}의 성과는⏎그럭저럭 괜찮은 편이네요
M15861.0	수행이 재미있어서⏎못 견디겠습니다⏎무엇이든 체득해 보이겠습니다
M15862.0	상태는 그럭저럭 괜찮습니다⏎하나하나의 단련을⏎소중히 해 나가고 싶습니다
M15863.0	상태가 조금 나쁩니다만⏎어떻게든 만회하여⏎정진해 나가겠습니다
M15864.0	무엇을 해도 잘되지 않아⏎속으로는 초조합니다만⏎어떻게든 노력하겠습니다
M15865.0	이 기세로⏎앞으로도 수행을 계속하고자⏎합니다
M15866.0	{C:25b}{V:79}{C:32b} 병사가 하루빨리⏎어엿한 무장이 되도록⏎엄하게 이끌 생각입니다
M15867.0	{C:25b}{V:79}{C:32b}의 앞으로의 노력에⏎크게 기대해 보겠다
M15868.0	{C:25b}{V:79}{C:32b}의 앞으로의 노력에⏎크게 기대하지요
M15869.0	오늘로써⏎{C:25b}{V:79}{C:32b}에 대한 지도가⏎완료되었습니다
M15870.0	이로써 {C:25b}{V:79}{C:32b}의 지도는⏎모두 끝났다
M15871.0	이로써 {C:25b}{V:79}{C:32b}의 지도는⏎모두 끝났네요
M15872.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 출중하여⏎흠잡을 데가 없습니다
M15873.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 출중하여⏎나도 만족스럽다
M15874.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 출중하여⏎나도 만족스러워요
M15875.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 뛰어나니⏎무난히 통할 것입니다
M15876.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 뛰어나다⏎앞날이 기대되는구나
M15877.0	{C:25b}{V:79}{C:32b}의 능력은⏎모든 분야에서 뛰어나요⏎기대할 만하네요
M15878.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}에 뛰어납니다
M15879.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}에 뛰어나다
M15880.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}에 뛰어나요
M15881.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}에 뛰어납니다
M15882.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}에 뛰어나다
M15883.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}에 뛰어나요
M15884.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}・{V:7C}에⏎뛰어납니다
M15885.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}・{V:7C}에⏎뛰어나다
M15886.0	{C:25b}{V:79}{C:32b} 병사는⏎{V:7A}・{V:7B}・{V:7C}에⏎뛰어나요
M15887.0	수행의 성과가 미미하여⏎{C:25b}{V:79}{C:32b}의 특징적인 능력은⏎길러지지 않았습니다
M15888.0	단련의 성과도 그다지 없어⏎{C:25b}{V:79}{C:32b}의 능력은 평범한가⏎아쉽구나……
M15889.0	단련의 성과도 그다지 없어⏎{C:25b}{V:79}{C:32b}의 능력은⏎평범했어요……
M15890.0	{V:7A}・{V:7B} 분야에⏎비할 데 없는 재능을 지녀⏎우리 군의 자랑입니다
M15891.0	특히, {V:7A}・{V:7B} 분야를⏎통달한 점은 칭찬할 만하다⏎그 능력을 살려 다오
M15892.0	특히, {V:7A}・{V:7B} 분야를⏎통달한 점은 칭찬할 만하네요
M15893.0	{C:25b}{V:7A}{C:32b}, {C:25b}{V:7B}{C:32b} 병법을⏎습득하였으니⏎장래가 기대됩니다
M15894.0	{C:25b}{V:7A}{C:32b}, {C:25b}{V:7B}{C:32b} 병법을⏎습득할 줄은 몰랐구나⏎기대하고 있겠다
M15895.0	{C:25b}{V:7A}{C:32b}, {C:25b}{V:7B}{C:32b} 병법을⏎습득해 내다니⏎가르친 보람이 있었어요
M15896.0	병법에 관해서는⏎지도가 부족하여⏎제 힘이 모자란 탓입니다……
M15897.0	아쉽지만⏎병법에 있어서는⏎한 걸음 모자랐구나……
M15898.0	아쉽지만⏎병법에 대해서는⏎한 걸음 모자랐어요……
M15899.0	능력 지도를 중시한 탓에⏎병법의 성장에 대해서는⏎양해해 주시기 바랍니다
M15900.0	병법에 있어서는⏎힘을 쏟지 않았으니⏎이 결과는 어쩔 수 없겠지
M15901.0	병법에 관해서는⏎힘을 쏟지 않았으니⏎이 결과는 어쩔 수 없네요
M15902.0	병법에 있어서는⏎앞으로 성장할 수 있도록⏎갈고닦았습니다
M15903.0	병법에 관해서는⏎{C:25b}{V:79}{C:32b}의 노력도 있어⏎그럭저럭 괜찮았구나
M15904.0	병법에 관해서는⏎{C:25b}{V:79}{C:32b}의 노력도 있어서⏎그럭저럭 괜찮았다고 하겠네요
M15905.0	{C:25b}{V:79}{C:32b},⏎단련을 통해⏎무언가 느꼈느냐
M15906.0	{C:25b}{V:79}{C:32b},⏎단련을 통해⏎느낀 것이 있느냐
M15907.0	{C:25b}{V:79}{C:32b},⏎단련을 통해 무엇을 느꼈나요?
M15908.0	{C:25b}{V:79}{C:32b},⏎단련을 통해 무엇을 느꼈나요?
M15909.0	{V:02DA} 님의 지도 덕분에⏎여기까지 올 수 있었습니다⏎감사하기 그지없습니다
M15910.0	덕분에⏎어엿한 무장이 되었습니다⏎감사합니다
M15911.0	{C:25b}{V:79}{C:32b},⏎앞으로의 활약을⏎기대하고 있겠다
M15912.0	{C:25b}{V:79}{C:32b},⏎앞으로는 그 재능을⏎마음껏 발휘해 줘야겠어요
M15913.0	{V:01DA}의 눈에 띄어 발탁됨.
M15914.0	{V:01DA} 사사. 주로 {V:79} 단련.
M15915.0	도중에 지도자 교체를 요구.
M15916.0	도중에 지도자와 대립.
M15917.0	도중에 지도자와 언쟁.
M15918.0	도중에 특훈을 거부하고 도망.
M15919.0	도중에 방랑의 길을 떠남.
M15920.0	도중에 귀향함.
M15921.0	도중에 병을 앓음.
M15922.0	{V:65}년, {V:79}군의 일원이 됨
M15923.0	{C:25b}{V:79}{C:32b} 병사는 엄한 지도를⏎못 견뎌 {V:01DA}의 곁을 떠났습니다
M15924.0	{C:25b}{V:79}{C:32b} 병사는 귀향하기 위해⏎{V:01DA}의 곁을 떠났습니다
M15925.0	{C:25b}{V:79}{C:32b} 병사는 방랑을 결심하고⏎{V:01DA}의 곁을 떠났습니다
M15926.0	한동안 혼자 지내며⏎머리를 식히고 왔습니다⏎폐를 끼쳐 드렸습니다
M15927.0	잘 돌아왔구나⏎새로운 마음으로 수행하여⏎그간 놓친 만큼 되찾거라
M15931.0	잘 돌아왔구나⏎새로운 마음으로 수행하여⏎그간 놓친 만큼 되찾거라
M15935.0	잘 돌아왔구나⏎새로운 마음으로 수행하여⏎그간 놓친 만큼 되찾거라
M15928.0	잘 돌아와 주었어요⏎다시 수행에 힘써서⏎어엿한 무장이 되는 거예요
M15932.0	잘 돌아와 주었어요⏎다시 수행에 힘써서⏎어엿한 무장이 되는 거예요
M15936.0	잘 돌아와 주었어요⏎다시 수행에 힘써서⏎어엿한 무장이 되는 거예요
M15929.0	행방불명이던 {C:25b}{V:79}{C:32b} 병사가⏎{V:01DA}에게 돌아왔습니다
M15930.0	{V:02DA} 님,⏎귀향해 있는 동안⏎폐를 끼쳐 드렸습니다
M15933.0	귀향했던 {C:25b}{V:79}{C:32b} 병사가⏎{V:01DA}에게 돌아왔습니다
M15934.0	{V:02DA} 님,⏎방랑하며 여러모로 반성하고⏎제 미숙함을 깨달았습니다
M15937.0	방랑하던 {C:25b}{V:79}{C:32b} 병사가⏎{V:01DA}에게 돌아왔습니다
M15938.0	그즈음 {V:01DA} 일행은……
M15939.0	{V:02DA} 님,⏎{C:25b}{V:79}{C:32b}의 병법 지도에 대해⏎조언을 부탁드리고 싶습니다
M15940.0	{V:02DA} 님,⏎{C:25b}{V:79}{C:32b}의 병법 지도에 대해⏎조언을 부탁드리고 싶습니다
M15941.0	가끔은 {C:25b}{V:79}{C:32b}에게⏎다른 병법을⏎지도해 볼까
M15941.1	{C:25b}{V:79}{C:32b}의 폭을 넓히고자⏎다른 병법을⏎배우게 해 볼까
M15942.0	가끔은 {C:25b}{V:79}{C:32b}에게⏎다른 병법을⏎지도하는 것도 좋겠네요
M15942.1	{C:25b}{V:79}{C:32b}의 폭을 넓히고자⏎다른 병법을⏎배우게 해 보지요
M15943.0	좋다⏎잠시 생각해 보도록 하지
M15944.0	알겠어요⏎잠시 생각해 보지요
M15945.0	자, 무엇을 가르칠까……
M15946.0	자, 무엇을 가르치면⏎좋을까요……
M15947.0	{V:01DA} 님,⏎{C:25b}{V:79}{C:32b}의 지도내용을 선택하십시오
M15948.0	분부 받들겠습니다⏎기대에 부응할 수 있도록⏎힘쓰겠습니다
M15949.0	조언해 주셔서 감사합니다⏎기대에 부응할 수 있도록⏎힘쓰겠습니다
M15950.0	좋다, 정해진 이상⏎정신 바짝 차리고⏎나를 따라오너라
