movie	card	start_s	end_s	ja	ko
SOP_H08	1	16.80	24.23	五度目の北伐に必勝を期する諸葛亮は、呉を建国した孫権に出兵を要請。	다섯 번째 북벌에 필승을 다짐한 제갈량은 오를 세운 손권에게 출병을 요청했다.
SOP_H08	2	23.03	30.73	これに応じた孫権は魏に攻め入る動きを見せる。	이에 응한 손권은 위를 공격할 움직임을 보인다.
SOP_H08	3	29.57	39.40	呉の動向を察知した魏の曹叡は自ら対呉戦線に赴き、蜀との攻防は司馬懿に一任した。	오의 움직임을 알아챈 위의 조예는 몸소 오와의 전선으로 향하고 촉과의 공방은 사마의에게 맡겼다.
SOP_H08	4	39.47	50.50	諸葛亮と司馬懿。時代を代表する2人の名将は、五丈原を挟み、最後の戦いに臨もうとしていた。	제갈량과 사마의. 시대를 대표하는 두 명장이 오장원을 사이에 두고 마지막 결전에 임하려 하고 있었다.
SOP_H08	5	50.57	58.37	ときに西暦234年蜀の建興12年のことである。	때는 서기 234년, 촉나라 건흥 12년의 일이다.
SOP_H09	0	6.17	13.83	諸葛亮の北伐を凌いだ司馬懿は、政変によって魏の中枢を掌握した。	제갈량의 북벌을 막아 낸 사마의는 정변을 일으켜 위의 중추를 장악했다.
SOP_H09	1	13.90	21.67	一方の蜀は、相次ぐ外征と政治の腐敗によって疲弊しきっていた。	한편 촉은 잇따른 원정과 정치의 부패로 몹시 피폐해져 있었다.
SOP_H09	2	21.73	30.87	司馬懿の子・司馬昭は好機到来と見て、鍾会、鄧艾に蜀討伐を命じる。	사마의의 아들 사마소는 호기가 왔다고 보고 종회와 등애에게 촉 토벌을 명한다.
SOP_H09	3	30.93	39.13	対する蜀の姜維は直ちに迎撃態勢を敷いたが、その陣容はあまりに薄かった。	이에 맞선 촉의 강유는 곧바로 요격 태세를 갖추었으나 그 진용은 너무나 빈약했다.
SOP_H09	4	39.20	43.47	劉備、諸葛亮、関羽、張飛。	유비, 제갈량, 관우, 장비.
SOP_H09	5	43.53	47.53	名だたる将才が命を賭して建国した蜀。	이름난 영웅들이 목숨을 걸고 세운 나라, 촉.
SOP_H09	6	47.60	54.17	その命運が、今まさに尽きようとしていた。	그 명운이 이제 막 다하려 하고 있었다.
SOP_H09	7	54.23	61.23	ときに西暦263年、蜀の炎興1年のことである。	때는 서기 263년, 촉나라 염흥 1년의 일이다.
SOP_V00	0	5.87	11.00	逆臣董卓を討つべく結ばれた「反董卓連合」。	역신 동탁을 치기 위해 결성된 「반동탁 연합」.
SOP_V00	1	11.07	17.37	しかし、連合諸侯は各自の利権に固執し、戦果は上がらなかった。	그러나 연합한 제후들은 저마다 이권에만 매달려 전과를 올리지 못했다.
SOP_V00	2	17.43	23.57	そんな中、董卓打倒に命を燃やす将が1人だけいた。	그런 가운데 동탁 타도에 목숨을 불태운 장수가 단 한 명 있었다.
SOP_V00	3	23.63	27.30	「江東の虎」孫堅である。	「강동의 호랑이」 손견이다.
SOP_V00	4	27.37	34.67	孫堅は先陣を切って董卓軍と激突し、大勝利を得た。	손견은 선봉에 서서 동탁군과 격돌해 대승을 거두었다.
SOP_V00	5	33.43	43.17	孫堅の勇名を畏れた董卓は洛陽に火を放ち、長安へ逃走。	손견의 용명을 두려워한 동탁은 낙양에 불을 지르고 장안으로 달아났다.
SOP_V00	6	41.93	50.10	孫堅は洛陽に入り、荒廃した街の復興に尽力した。	손견은 낙양에 들어가 황폐해진 도시의 복구에 힘썼다.
SOP_V00	7	48.87	56.13	漢の中興に励む孫堅の勇姿に、人々は喝采を送った。	한나라 중흥에 힘쓰는 손견의 늠름한 모습에 사람들은 갈채를 보냈다.
SOP_V00	8	56.20	63.90	ときに西暦191年、漢の初平3年のことである。	때는 서기 191년, 한나라 초평 3년의 일이다.
SOP_V01	0	7.80	13.17	「反董卓連合」は董卓から洛陽を奪回する。	「반동탁 연합」은 동탁에게서 낙양을 되찾는다.
SOP_V01	1	13.23	20.37	だが、連合諸侯同士の内部抗争が激化し、間もなく連合は解散した。	그러나 연합한 제후들 사이의 내분이 격해져 연합은 곧 해산했다.
SOP_V01	2	20.43	28.63	諸侯の中でも随一の声望を誇る袁紹は、曹操らを配下に収めて勢力を拡大。	제후 가운데 으뜸가는 명망을 자랑하는 원소는 조조 등을 휘하에 거두어 세력을 넓혔다.
SOP_V01	3	28.70	35.33	公孫瓚は、盟友・劉備の助力を得て、袁紹との激突に備えた。	공손찬은 맹우 유비의 도움을 얻어 원소와의 격돌에 대비했다.
SOP_V01	4	35.40	44.07	袁紹の異母弟・袁術も、洛陽を制圧した孫堅を従え、袁紹の背後をうかがっていた。	원소의 이복동생 원술도 낙양을 제압한 손견을 거느리고 원소의 배후를 노리고 있었다.
SOP_V01	5	44.13	49.50	袁紹、公孫瓚、袁術、そして董卓。	원소, 공손찬, 원술, 그리고 동탁.
SOP_V01	6	49.57	55.60	中原を巡る四強の戦いがここに始まる。	중원을 둘러싼 네 강자의 싸움이 이제 시작된다.
SOP_V01	7	55.67	62.83	ときに西暦191年、漢の初平3年のことである。	때는 서기 191년, 한나라 초평 3년의 일이다.
SOP_V02	0	9.00	16.17	董卓を討ち果たした呂布は、徐州に入り中原を巡る争いに加わった。	동탁을 쓰러뜨린 여포는 서주에 들어가 중원을 둘러싼 싸움에 뛰어들었다.
SOP_V02	1	16.23	20.63	至高の座を狙う袁術は、呂布に接近。	지존의 자리를 노리는 원술은 여포에게 접근했다.
SOP_V02	2	20.70	25.93	孫策から譲り受けた玉璽を手に皇帝を名乗る。	그리고 손책에게서 넘겨받은 옥새를 손에 쥐고 황제를 자칭한다.
SOP_V02	3	26.00	33.43	献帝を擁する曹操は、諸侯に袁術打倒を呼びかけるが、事態は一変する。	헌제를 받드는 조조는 제후들에게 원술 타도를 호소했으나, 사태는 급변한다.
SOP_V02	4	33.50	39.43	袁術が急逝し、呂布が帝位を継承したのである。	원술이 갑자기 세상을 떠나고 여포가 제위를 이어받은 것이다.
SOP_V02	5	39.50	43.63	最強の豪傑・呂布が皇帝に。	최강의 호걸 여포가 황제로.
SOP_V02	6	43.70	49.33	その報せは大陸全土を駆けめぐり、諸侯を震撼させた。	그 소식은 대륙 전역을 휩쓸며 제후들을 뒤흔들었다.
SOP_V02	7	49.40	56.83	ときに西暦197年、漢の建安2年のことである。	때는 서기 197년, 한나라 건안 2년의 일이다.
SOP_V03	0	8.20	17.93	献帝を擁立した曹操は自らの権勢を強めるばかりで、朝廷の威信は却って損なわれた。	헌제를 옹립한 조조는 제 권세만 키울 뿐이어서 조정의 위신은 오히려 떨어졌다.
SOP_V03	1	18.00	27.87	漢室の衰退を憂う献帝は董承を派遣し、劉備と馬騰に曹操打倒の密勅を与える。	한실의 쇠퇴를 걱정한 헌제는 동승을 보내 유비와 마등에게 조조 타도의 밀칙을 내린다.
SOP_V03	2	27.93	32.90	漢の再興を願う2人はこれを快諾する。	한실 부흥을 바라는 두 사람은 이를 흔쾌히 받아들인다.
SOP_V03	3	32.97	38.00	劉備は献帝を保護して曹操の下を脱出。	유비는 헌제를 모시고 조조의 손아귀에서 벗어났다.
SOP_V03	4	38.07	44.03	馬騰も涼州の軍勢を率いて劉備の傘下に入った。	마등도 양주의 군세를 이끌고 유비의 휘하로 들어왔다.
SOP_V03	5	44.10	53.83	群雄割拠によって輝きを失っていた漢朝は、ここに再興への道を歩み始めた。	군웅할거로 빛을 잃었던 한 왕조는 이제 부흥의 길을 걷기 시작했다.
SOP_V03	6	53.90	60.67	ときに西暦200年、漢の建安5年のことである。	때는 서기 200년, 한나라 건안 5년의 일이다.
SOP_V04	0	7.50	13.83	袁紹と曹操は華北の支配権を巡り、官渡で激突した。	원소와 조조는 화북의 지배권을 두고 관도에서 격돌했다.
SOP_V04	1	13.90	20.63	地力に勝る袁紹は軍師・田豊の策を用いて曹操軍を圧迫。	저력에서 앞선 원소는 군사 전풍의 계책을 써서 조조군을 압박했다.
SOP_V04	2	20.70	26.67	兵糧の尽きた曹操は敗退し、都を捨てて逃走した。	군량이 떨어진 조조는 패퇴하여 도읍을 버리고 달아났다.
SOP_V04	3	26.73	33.27	袁紹は献帝を擁護しその名声はここに極まった。	헌제를 받들게 된 원소의 명성은 절정에 달했다.
SOP_V04	4	33.33	37.90	だが、予断を許さない情勢が続く。	그러나 한 치 앞을 알 수 없는 정세가 이어진다.
SOP_V04	5	37.97	43.50	曹操は直ちに軍団を再編し、反撃体制を整備。	조조는 곧바로 군단을 재편하여 반격 태세를 갖추었다.
SOP_V04	6	43.57	51.80	袁紹の客将となっていた劉備も汝南へ脱出し、都へ攻め入ろうとしていた。	원소의 객장으로 있던 유비도 여남으로 빠져나가 도읍으로 쳐들어가려 하고 있었다.
SOP_V04	7	51.87	58.63	ときに西暦200年、漢の建安5年のことである。	때는 서기 200년, 한나라 건안 5년의 일이다.
SOP_V05	0	9.50	16.57	赤壁の戦いに勝利した周瑜は、自らの秘策を実行に移す。	적벽대전에서 승리한 주유는 자신의 비책을 실행에 옮긴다.
SOP_V05	1	16.63	23.17	華北を支配する曹操に対し、華南と涼州の軍事力を総動員して挑む。	화북을 지배하는 조조에게 화남과 양주의 군사력을 총동원해 맞서는 것.
SOP_V05	2	23.23	27.57	即ち、「天下二分の計」である。	즉, 「천하이분지계」다.
SOP_V05	3	27.63	33.30	周瑜は自ら遠征して荊州と益州を攻略。	주유는 몸소 원정하여 형주와 익주를 공략했다.
SOP_V05	4	33.37	38.20	馬騰と同盟を結んで、北上の時を迎える。	그리고 마등과 동맹을 맺고 북상할 때를 맞는다.
SOP_V05	5	38.27	43.40	周瑜にとって気がかりなのは、背後に控える劉備の存在。	주유에게 마음에 걸리는 것은 배후에 버티고 있는 유비의 존재.
SOP_V05	6	43.47	47.03	だが、彼は迷わず号令を下した。	그러나 그는 망설임 없이 호령을 내렸다.
SOP_V05	7	47.10	50.97	亡き親友の夢のために。	세상을 떠난 벗의 꿈을 위해.
SOP_V05	8	51.03	58.47	ときに西暦210年、漢の建安15年のことである。	때는 서기 210년, 한나라 건안 15년의 일이다.
SOP_V06	0	8.17	13.10	関羽の北上を阻止した曹操は病に倒れた。	관우의 북상을 막아 낸 조조는 병으로 쓰러졌다.
SOP_V06	1	13.17	19.13	後継者は嫡子の曹丕と目されていたがこれに異を唱える者がいた。	후계자는 적자 조비로 여겨졌으나 이에 이의를 제기하는 자들이 있었다.
SOP_V06	2	19.20	25.10	武勇をもって鳴る曹彰と、聡明を曹操に愛された曹植である。	무용으로 이름난 조창과, 총명함으로 조조의 사랑을 받은 조식이다.
SOP_V06	3	25.17	29.20	2人の弟は、それぞれの任地で自立。	두 동생은 각자의 임지에서 자립했다.
SOP_V06	4	29.27	34.80	華北は、曹熊を含めた曹家四兄弟によって分裂した。	화북은 조웅을 포함한 조씨 네 형제로 인해 분열되었다.
SOP_V06	5	34.87	40.20	劉備、孫権らとの勢力比は一変。	유비, 손권 등과의 세력 판도는 완전히 바뀌었다.
SOP_V06	6	39.03	48.07	かつて曹操が倒した袁家と同様、曹家もまた、後継問題で内から崩れようとしていた。	일찍이 조조가 쓰러뜨린 원씨 가문처럼 조씨 가문 또한 후계 문제로 안에서부터 무너지려 하고 있었다.
SOP_V06	7	48.13	55.53	ときに西暦220年、漢の建安25年のことである。	때는 서기 220년, 한나라 건안 25년의 일이다.
SOP_V07	0	8.20	13.77	魏の司馬昭は鍾会と鄧艾を派遣し、蜀を滅ぼした。	위의 사마소는 종회와 등애를 보내 촉을 멸망시켰다.
SOP_V07	1	13.83	20.07	鄧艾は独自に統治を進めようとするが、鍾会に阻止されてしまう。	등애는 독자적으로 통치를 펴려 했으나 종회에게 저지당하고 만다.
SOP_V07	2	20.13	26.63	鍾会は姜維ら旧蜀軍を併合し、蜀で独立を果たす。	종회는 강유 등 옛 촉군을 흡수하고 촉에서 독립을 이룬다.
SOP_V07	3	26.70	32.93	鍾会の野心を見抜いていた司馬昭はただちに鍾会討伐軍を再編。	종회의 야심을 꿰뚫어 보고 있던 사마소는 곧바로 종회 토벌군을 재편했다.
SOP_V07	4	33.00	38.83	この機に蜀を奪おうとする呉も、呉蜀国境に軍勢を集めた。	이 틈에 촉을 차지하려는 오 또한 오와 촉의 국경에 군세를 모았다.
SOP_V07	5	38.93	43.50	さらに、捕縛されていた鄧艾も窮地を脱して自立。	게다가 사로잡혀 있던 등애마저 궁지를 벗어나 자립했다.
SOP_V07	6	43.60	48.47	西蜀は、四勢力が入り乱れる激戦地と化した。	서촉은 네 세력이 뒤엉킨 격전지로 변했다.
SOP_V07	7	48.53	55.17	ときに西暦264年、魏の咸熙1年のことである。	때는 서기 264년, 위나라 함희 1년의 일이다.
SOP_V08	0	7.83	15.20	劉備の軍師・徐庶に悩まされた曹操は、策で徐庶を味方につけようとする。	유비의 군사 서서에게 골머리를 앓던 조조는 계책을 써서 서서를 제 편으로 끌어들이려 한다.
SOP_V08	1	15.27	21.27	だが、諸葛亮が策を見抜き、徐庶は劉備の下に留まる。	그러나 제갈량이 그 계책을 간파하여 서서는 유비 곁에 남는다.
SOP_V08	2	21.33	27.30	この小さな出来事から、歴史は大きく変化し始めた。	이 작은 사건을 계기로 역사는 크게 바뀌기 시작했다.
SOP_V08	3	27.37	34.90	間もなく劉表が病に倒れ、劉備は荊州を譲り受ける。	얼마 뒤 유표가 병으로 쓰러지고, 유비는 형주를 물려받는다.
SOP_V08	4	33.67	38.90	曹操は荊州へ侵攻するが、劉備軍に敗退。	조조는 형주로 쳐들어갔으나 유비군에게 패퇴했다.
SOP_V08	5	38.97	46.33	進路を転じて漢中を奪い、蜀制覇の障害となる馬騰を謀殺した。	조조는 진로를 돌려 한중을 빼앗고, 촉 제패에 걸림돌이 될 마등을 모살했다.
SOP_V08	6	46.40	52.90	父を殺された馬超は、劉備とともに曹操に挑むのだった。	아버지를 잃은 마초는 유비와 함께 조조에게 맞서게 된다.
SOP_V08	7	52.97	59.20	ここに「超・三國志」の世界が幕を開けた。	이로써 「초·삼국지」의 세계가 막을 열었다.
SOP_V09	0	9.80	18.33	後漢末期、求心力を失った朝廷を尻目に、英雄たちが互いに覇を争った。	후한 말기, 구심력을 잃은 조정을 아랑곳하지 않고 영웅들이 서로 패권을 다투었다.
SOP_V09	1	18.40	24.07	乱世の姦雄・曹操、漢の復興を目指した劉備。	난세의 간웅 조조, 한실 부흥을 꿈꾼 유비.
SOP_V09	2	24.13	29.03	劉備との友情に生涯を賭した関羽と張飛。	유비와의 우정에 평생을 바친 관우와 장비.
SOP_V09	3	29.10	34.13	火計を駆使して大敵を撃破した周瑜と陸遜。	화공을 펼쳐 강적을 격파한 주유와 육손.
SOP_V09	4	34.20	38.97	魏蜀国境で五度まみえた諸葛亮と司馬懿。	위와 촉의 국경에서 다섯 차례 맞붙은 제갈량과 사마의.
SOP_V09	5	39.03	44.27	蜀の滅亡を前に知勇を競った姜維と鄧艾。	촉의 멸망을 앞두고 지혜와 용맹을 겨룬 강유와 등애.
SOP_V09	6	44.33	51.43	時の壁を越え、同じ旗の下に、三国志の英雄たちが集結する。	시대의 벽을 넘어 같은 깃발 아래 삼국지의 영웅들이 모인다.
SOP_V09	7	51.50	57.20	真の勝者を決める戦いが、今、始まる！	진정한 승자를 가리는 싸움이 지금 시작된다!
