id	kind	width	lines	ja	ko
M07125.3	dlg	28	3	{V:03DA}は我が軍に⏎なくてはならぬ存在だわ⏎何とか考えてもらえないかしら	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람이에요⏎어떻게든 선처해 줄 수 없나요
M07126.0	dlg	28	2	我が軍の{V:03DA}を⏎解放してはもらえぬか？	우리 군의 {V:03DA},⏎풀어 줄 수 없겠나?
M07126.1	dlg	28	3	頼む⏎何とか{V:03DA}を⏎返してもらいたい	부탁하네⏎어떻게든 {V:03DA}만은⏎돌려주었으면 하네
M07126.2	dlg	28	3	我が軍も穏便に⏎事を収めたいのだ……⏎{V:03DA}の解放を頼む	우리 군도 원만하게⏎일을 매듭짓고 싶네……⏎{V:03DA}의 석방을 부탁하네
M07126.3	dlg	28	3	{V:03DA}は我が軍に⏎なくてはならぬ存在だ⏎何とかならぬものか？	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람일세⏎어떻게 안 되겠나?
M07127.0	dlg	28	3	我が軍の{V:03DA}を⏎解放しては⏎いただけませんか？	우리 군의 {V:03DA},⏎풀어 주실 수는⏎없겠습니까?
M07127.1	dlg	28	3	お願いでございます⏎なにとぞ{V:03DA}を⏎お返しください	간청드립니다⏎부디 {V:03DA}만은⏎돌려주십시오
M07127.2	dlg	28	3	我が軍も穏便に⏎事を収めたいのです……⏎{V:03DA}の解放をお願いします	우리 군도 원만하게⏎일을 매듭짓고 싶습니다……⏎{V:03DA}의 석방을 부탁합니다
M07127.3	dlg	28	3	{V:03DA}は我が軍に⏎なくてはならぬ存在⏎ぜひとも、お情けを……	{V:03DA} 장군은 우리 군에⏎없어서는 안 될 사람⏎부디 너그러운 처분을……
M07129.0	dlg	28	3	そのように頼まれては⏎断れません⏎即刻、返しましょう	그렇게까지 부탁하시니⏎거절할 수 없군요⏎즉시 돌려보내겠습니다
M07129.1	dlg	28	2	わかりました⏎すぐに解き放ちましょう	알겠습니다⏎곧바로 풀어 드리지요
M07129.2	dlg	28	3	安心してください⏎この{V:01DA}の名にかけて⏎捕虜を解放しましょう	안심하십시오⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하겠습니다
M07130.0	dlg	28	3	そんなに頼まれては⏎断れないわね⏎即刻、返しましょう	그렇게까지 부탁하니⏎거절할 수 없네요⏎즉시 돌려보내지요
M07130.1	dlg	28	2	わかったわ⏎すぐに解き放ちましょう	알겠어요⏎곧바로 풀어 드리지요
M07130.2	dlg	28	3	安心なさい⏎この{V:01DA}の名にかけて⏎捕虜を解放しましょう	안심하세요⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하지요
M07131.0	dlg	28	3	特別に解放しましょう⏎今後は我が軍に⏎盾突くことなきよう	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대드는 일이 없기를 바랍니다
M07131.1	dlg	28	3	ここで恩を売れば⏎後々利用できますね……⏎よし、引き渡しましょう	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군요……⏎좋습니다, 넘겨 드리지요
M07131.2	dlg	28	3	今回は特別に解放します⏎ですが、次はないと⏎思ってください	이번에는 특별히 석방합니다⏎하지만 다음은 없다고⏎생각하십시오
M07132.0	dlg	28	3	特別に解放してあげましょう⏎今後は我が軍に⏎盾突かないことね	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대드는 일이 없도록 하세요
M07132.1	dlg	28	3	ここで恩を売れば⏎後々利用できるわね……⏎よし、引き渡しましょう	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠네요……⏎좋아요, 넘겨 드리지요
M07132.2	dlg	28	3	今回は特別に⏎解放してあげましょう⏎でも、次はないわよ！	이번에는 특별히⏎풀어 드리지요⏎하지만 다음은 없어요!
M07133.0	dlg	28	3	わかりました⏎我が軍の誠意、⏎忘れないでくださいよ	알겠습니다⏎우리 군의 성의를⏎잊지 말아 주십시오
M07133.1	dlg	28	3	こう頼まれては⏎断りきれません⏎お返ししましょう	이렇게까지 부탁하시니⏎거절할 수가 없습니다⏎돌려 드리겠습니다
M07133.2	dlg	28	2	とくに異存はありません⏎解放しましょう	특별히 이의는 없습니다⏎석방하겠습니다
M07134.0	dlg	28	3	わかりました⏎我が軍の誠意を⏎お忘れなく	알겠어요⏎우리 군의 성의를⏎잊지 마세요
M07134.1	dlg	28	3	こう頼まれては⏎断りきれないわね⏎お返しします	이렇게까지 부탁하시니⏎거절할 수가 없네요⏎돌려 드릴게요
M07134.2	dlg	28	2	とくに異存はないわ⏎解放しましょう	특별히 이의는 없어요⏎석방하지요
M07135.0	dlg	28	3	そのように頼まれては⏎断れません⏎即刻、お返ししましょう	그렇게까지 부탁하시니⏎거절할 수 없습니다⏎즉시 돌려 드리지요
M07135.1	dlg	28	2	わかりました⏎すぐに解き放ちましょう	알겠습니다⏎곧바로 풀어 드리지요
M07135.2	dlg	28	3	どうぞ、ご安心を⏎この{V:01DA}の名にかけて⏎捕虜を解放いたしましょう	부디 안심하십시오⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방해 드리겠습니다
M07136.0	dlg	28	3	そのように頼まれては⏎断れぬな⏎即刻、お返ししよう	그렇게까지 부탁하니⏎거절할 수 없군⏎즉시 돌려주지
M07136.1	dlg	28	2	うむ、わかった⏎すぐに解き放とう	음, 알겠네⏎곧바로 풀어 주지
M07136.2	dlg	28	3	安心するが良い⏎この{V:01DA}の名にかけて⏎捕虜を解放しよう	안심하게⏎이 {V:01DA}의 이름을 걸고⏎포로를 석방하겠네
M07137.0	dlg	28	3	特別に解放しましょう⏎今後は我が軍に⏎盾突かないでくだされ	특별히 풀어 드리지요⏎앞으로는 우리 군에⏎대들지 말아 주십시오
M07137.1	dlg	28	3	ここで恩を売れば⏎後々利用できるな……⏎よし、引き渡しましょう	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군……⏎좋습니다, 넘겨 드리지요
M07137.2	dlg	28	3	今回は特別に解放します⏎ですが、次はないと⏎思ってください	이번에는 특별히 석방합니다⏎하지만 다음은 없다고⏎생각하십시오
M07138.0	dlg	28	3	特別に解放してやろう⏎今後は我が軍に⏎盾突くでないぞ！	특별히 풀어 주마⏎앞으로는 우리 군에⏎대들지 말거라!
M07138.1	dlg	28	3	ここで恩を売れば⏎後々利用できるな……⏎よし、引き渡してやる	여기서 빚을 지워 두면⏎훗날 이용할 수 있겠군……⏎좋다, 넘겨주마
M07138.2	dlg	28	3	今回は特別に⏎解放してやろう！⏎だが、次はないと思え！	이번에는 특별히⏎풀어 주마!⏎허나 다음은 없는 줄 알라!
M07139.0	dlg	28	3	わかりました⏎我が軍の誠意、⏎忘れないでくだされ	알겠습니다⏎우리 군의 성의를⏎잊지 마십시오
M07139.1	dlg	28	3	こう頼まれては⏎断りきれません⏎お返ししましょう	이렇게까지 부탁하시니⏎거절할 수가 없습니다⏎돌려 드리겠습니다
M07139.2	dlg	28	2	とくに異存はありません⏎解放しましょう	특별히 이의는 없습니다⏎석방하겠습니다
M07140.0	dlg	28	3	わかった⏎我が軍の誠意、⏎忘れるでないぞ	알겠네⏎우리 군의 성의를⏎잊지 말게
M07140.1	dlg	28	3	こう頼まれては⏎断りきれぬな⏎お返ししよう	이렇게까지 부탁하니⏎거절할 수가 없군⏎돌려주지
M07140.2	dlg	28	2	うむ、とくに異存はない⏎解放しよう	음, 특별히 이의는 없네⏎석방하지
M07142.0	dlg	28	3	引き受けたくは思いますが⏎せめて{V:03DA}を解放しては⏎もらえませんか？	응하고는 싶습니다만⏎적어도 {V:03DA}만큼은⏎풀어 주실 수 없겠습니까?
M07142.1	dlg	28	3	我が軍の{V:03DA}が⏎そちらにいるはずです⏎まずは{V:03DA}の解放です	우리 군의 {V:03DA}도⏎그쪽에 있을 것입니다⏎{V:03DA}의 석방이 먼저입니다
M07142.2	dlg	28	3	申し訳ないですが⏎{V:03DA}の解放なくば⏎断るしかありませぬ	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 도리밖에 없습니다
M07143.0	dlg	28	3	引き受けたくは思うけれど⏎先に{V:03DA}を解放しては⏎もらえないかしら？	응하고는 싶지만⏎먼저 {V:03DA}부터⏎풀어 줄 수 없을까요?
M07143.1	dlg	28	3	我が軍の{V:03DA}が⏎そちらにいるでしょう？⏎まずは{V:03DA}の解放だわ	우리 군의 {V:03DA}도⏎그쪽에 있지요?⏎{V:03DA}의 석방이 먼저예요
M07143.2	dlg	28	3	申し訳ないけれど⏎{V:03DA}の解放なくば⏎断るしかないわね	미안하지만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없네요
M07144.0	dlg	28	3	何を言われるかと思えば……⏎まずは{V:03DA}の解放です⏎話はそれからにしましょう	무슨 말씀인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07144.1	dlg	28	2	{V:03DA}を解放してください⏎それが最低条件です	{V:03DA}의 석방을 바랍니다⏎그것이 최소한의 조건입니다
M07144.2	dlg	28	3	まずは{V:03DA}を解放して⏎それなりの誠意を⏎見せてもらえませんか	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 줄 수 없겠습니까
M07145.0	dlg	28	3	何を言うかと思えば……⏎まずは{V:03DA}の解放だわ！⏎話はそれからよ！	무슨 말인가 했더니……⏎{V:03DA}의 석방이 먼저예요!⏎이야기는 그다음이에요!
M07145.1	dlg	28	2	{V:03DA}を解放しなさい！⏎それが最低条件よ！	{V:03DA}의 석방을 요구해요!⏎그게 최소한의 조건이에요!
M07145.2	dlg	28	3	まずは{V:03DA}を解放して⏎それなりの誠意を⏎見せてもらいましょう	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주셔야겠어요
M07146.0	dlg	28	3	捕虜となっている⏎{V:03DA}が解放されるなら⏎引き受けましょう	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎맡도록 하겠습니다
M07146.1	dlg	28	3	{V:03DA}の解放が条件です⏎呑んでいただけるなら⏎引き受けましょう	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎맡도록 하겠습니다
M07146.2	dlg	28	3	対等の交渉でなければ⏎割に合いません⏎{V:03DA}の解放が条件です	대등한 교섭이 아니면⏎수지가 맞지 않습니다⏎{V:03DA}의 석방이 조건입니다
M07147.0	dlg	28	3	捕虜となっている⏎{V:03DA}を解放するなら⏎引き受けても良いわね	포로로 잡혀 있는⏎{V:03DA}만 풀어 준다면⏎응해도 좋아요
M07147.1	dlg	28	3	{V:03DA}の解放が条件よ⏎呑んでくれるなら⏎引き受けましょう	{V:03DA}의 석방이 조건이에요⏎받아들여 준다면⏎응하도록 하지요
M07147.2	dlg	28	3	対等の交渉でなければ⏎割に合わないわ⏎{V:03DA}の解放が条件よ	대등한 교섭이 아니면⏎수지가 맞지 않아요⏎{V:03DA}의 석방이 조건이에요
M07148.0	dlg	28	3	引き受けたくは思いますが⏎先に{V:03DA}を解放しては⏎いただけませぬか？	응하고는 싶습니다만⏎먼저 {V:03DA}부터⏎풀어 주시지 않겠습니까?
M07148.1	dlg	28	3	我が軍の{V:03DA}が⏎そちらにいるのでは？⏎まずは{V:03DA}の解放です	우리 군의 {V:03DA}도⏎그쪽에 있지 않습니까?⏎{V:03DA}의 석방이 먼저입니다
M07148.2	dlg	28	3	申し訳ないのですが⏎{V:03DA}の解放なくば⏎断るしかありません	죄송합니다만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없습니다
M07149.0	dlg	28	3	引き受けたくは思うが……⏎先に{V:03DA}を解放しては⏎くれぬか？	응하고는 싶네만……⏎먼저 {V:03DA}부터⏎풀어 주지 않겠나?
M07149.1	dlg	28	3	我が軍の{V:03DA}が⏎そちらにいるだろう？⏎まずは{V:03DA}の解放だ	우리 군의 {V:03DA}도⏎그쪽에 있지 않나?⏎{V:03DA}의 석방이 먼저일세
M07149.2	dlg	28	3	申し訳ないが⏎{V:03DA}の解放なくば⏎断るしかないな	미안하네만⏎{V:03DA}의 석방 없이는⏎거절할 수밖에 없군
M07150.0	dlg	28	3	何を言われるかと思えば……⏎まずは{V:03DA}の解放です⏎話はそれからにしましょう	무슨 말씀인가 했더니……⏎{V:03DA}의 석방이 먼저입니다⏎이야기는 그다음에 합시다
M07150.1	dlg	28	2	{V:03DA}を解放してくだされ⏎それが最低条件です	{V:03DA}의 석방을 청합니다⏎그것이 최소한의 조건입니다
M07150.2	dlg	28	3	まずは{V:03DA}を解放して⏎それなりの誠意を⏎見せていただけませんか	먼저 {V:03DA}부터 석방하여⏎그만한 성의를⏎보여 주실 수 없겠습니까
M07151.0	dlg	28	3	何をほざくかと思えば……⏎まずは{V:03DA}を解放せよ⏎話はそれからだ	무슨 헛소리인가 했더니……⏎먼저 {V:03DA}부터 석방하라⏎이야기는 그다음이다
M07151.1	dlg	28	2	{V:03DA}を解放せよ⏎それが最低条件だ	{V:03DA}의 석방을 요구한다⏎그것이 최소한의 조건이다
M07151.2	dlg	28	3	まずは{V:03DA}を解放して⏎それなりの誠意を⏎見せてもらおうか	먼저 {V:03DA}부터 석방해서⏎그만한 성의를⏎보여 주어야겠군
M07152.0	dlg	28	3	捕虜となっている⏎{V:03DA}が解放されるなら⏎こちらも引き渡しましょう	포로로 잡혀 있는⏎{V:03DA}만 풀어 주신다면⏎이쪽도 넘겨 드리지요
M07152.1	dlg	28	3	{V:03DA}の解放が条件です⏎呑んでいただけるなら⏎解放しましょう	{V:03DA}의 석방이 조건입니다⏎받아들여 주신다면⏎석방하겠습니다
M07152.2	dlg	28	3	対等の交渉でなければ⏎割に合いません⏎{V:03DA}の解放が条件です	대등한 교섭이 아니면⏎수지가 맞지 않습니다⏎{V:03DA}의 석방이 조건입니다
M07153.0	dlg	28	3	捕虜となっている⏎{V:03DA}を解放すれば⏎こちらも引き渡そう	포로로 잡혀 있는⏎{V:03DA}만 풀어 준다면⏎이쪽도 넘겨주지
M07153.1	dlg	28	3	{V:03DA}の解放が条件だな⏎呑んでくれるなら⏎解放しよう	{V:03DA}의 석방이 조건일세⏎받아들여 준다면⏎석방하지
M07153.2	dlg	28	3	対等の交渉でなければ⏎割に合わぬな⏎{V:03DA}の解放が条件だ	대등한 교섭이 아니면⏎수지가 맞지 않지⏎{V:03DA}의 석방이 조건일세
M07155.0	dlg	28	3	親しき中にも礼儀あり……⏎せめて金{V:65}くらいは⏎支払っていただけませんか？	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주실 수 없겠습니까?
M07155.1	dlg	28	3	{V:03DA}ほどの人物です⏎金{V:65}くらいは⏎支払っていただけませんか？	{V:03DA}쯤 되는 인물입니다⏎금 {V:65} 정도는⏎지불해 주실 수 없겠습니까?
M07155.2	dlg	28	3	申し訳ないですが⏎金{V:65}程度の見返りは⏎頂きたいところです	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받았으면 합니다
M07156.0	dlg	28	3	親しき中にも礼儀あり……⏎せめて金{V:65}くらいは⏎支払ってほしいわね	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주면 좋겠네요
M07156.1	dlg	28	3	{V:03DA}ほどの人物だわ⏎金{V:65}くらいは⏎払ってもらいましょう	{V:03DA}쯤 되는 인물이잖아요⏎금 {V:65} 정도는⏎내주셔야겠어요
M07156.2	dlg	28	3	申し訳ないけれど⏎金{V:65}程度は⏎欲しいところだわ	미안하지만⏎금 {V:65} 정도는⏎받고 싶네요
M07157.0	dlg	28	3	部下の安全に金を惜しむほど⏎堕ちてはいませんね？⏎金{V:65}を頂きましょう	부하의 안전에 돈을 아낄 만큼⏎타락하지는 않으셨겠지요?⏎대가는 금 {V:65}입니다
M07157.1	dlg	28	3	{V:03DA}ほどの人物です⏎金{V:65}くらいなければ⏎話になりませんね	{V:03DA}쯤 되는 인물입니다⏎금 {V:65}도 없이는⏎이야기가 안 되지요
M07157.2	dlg	28	3	今までの経緯を思えば⏎金{V:65}程度、⏎安いとは思いませんか？	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않으십니까?
M07158.0	dlg	28	3	部下の安全に金を惜しむほど⏎堕ちてはいないでしょう？⏎金{V:65}をいただくわ！	부하의 안전에 돈을 아낄 만큼⏎타락하진 않았겠지요?⏎금 {V:65}쯤은 받겠어요!
M07158.1	dlg	28	3	{V:03DA}ほどの人物よ⏎金{V:65}くらいなければ⏎話にならないわね！	{V:03DA}쯤 되는 인물이에요⏎금 {V:65}도 없이는⏎이야기가 안 되죠!
M07158.2	dlg	28	3	今までの経緯を思えば⏎金{V:65}程度、⏎安いものでしょう？	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싼 편이잖아요?
M07159.0	dlg	28	2	金{V:65}を頂けるなら⏎引き渡しましょう	금 {V:65}만 주신다면⏎넘겨 드리지요
M07159.1	dlg	28	3	金{V:65}が条件です⏎呑んでいただけるなら⏎解放しましょう	조건은 금 {V:65}입니다⏎받아들여 주신다면⏎석방하겠습니다
M07159.2	dlg	28	3	{V:03DA}のためならば⏎金{V:65}くらい⏎惜しくはないでしょう？	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않으시겠지요?
M07160.0	dlg	28	2	金{V:65}を払えば⏎引き渡しましょう	금 {V:65}만 내시면⏎넘겨 드리지요
M07160.1	dlg	28	3	金{V:65}が条件よ⏎呑んでくれるなら⏎解放しましょう	금 {V:65}, 그게 조건이에요⏎받아들여 준다면⏎석방하지요
M07160.2	dlg	28	3	{V:03DA}のためならば⏎金{V:65}くらい⏎惜しくはないでしょう？	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않으시겠지요?
M07161.0	dlg	28	3	親しき中にも礼儀あり……⏎せめて金{V:65}くらいは⏎支払っていただけませぬか？	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주시지 않겠습니까?
M07161.1	dlg	28	3	{V:03DA}ほどの人物です⏎金{V:65}くらいは⏎支払っていただけませぬか？	{V:03DA}쯤 되는 인물입니다⏎금 {V:65} 정도는⏎지불해 주시지 않겠습니까?
M07161.2	dlg	28	3	申し訳ないのですが⏎金{V:65}程度の見返りは⏎頂きたいところです	죄송합니다만⏎금 {V:65} 정도의 대가는⏎받고자 합니다
M07162.0	dlg	28	3	親しき中にも礼儀あり……⏎せめて金{V:65}くらいは⏎支払ってくれまいか？	친한 사이에도 예의는 있는 법⏎적어도 금 {V:65}쯤은⏎지불해 주지 않겠나?
M07162.1	dlg	28	3	{V:03DA}ほどの人物だ⏎金{V:65}くらいは⏎払ってもらおう	{V:03DA}쯤 되는 인물일세⏎금 {V:65} 정도는⏎내주어야겠네
M07162.2	dlg	28	3	悪いが⏎金{V:65}程度は⏎欲しいところだな	미안하네만⏎금 {V:65} 정도는⏎받고 싶군
M07163.0	dlg	28	3	部下の安全に金を惜しむほど⏎堕ちてはおりますまい？⏎金{V:65}をもらいましょう	부하의 안전에 돈을 아낄 만큼⏎타락하시지는 않았겠지요?⏎금 {V:65}쯤은 받아야겠군요
M07163.1	dlg	28	3	{V:03DA}ほどの人物です⏎金{V:65}くらいなければ⏎話になりませぬな	{V:03DA}쯤 되는 인물입니다⏎금 {V:65}도 없이는⏎이야기가 안 되겠군요
M07163.2	dlg	28	3	今までの経緯を思えば⏎金{V:65}程度、⏎安いとは思いませぬか？	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각지 않습니까?
M07164.0	dlg	28	3	部下の安全に金を惜しむほど⏎堕ちてはおるまい？⏎金{V:65}を払ってもらおう！	부하의 안전에 돈을 아낄 만큼⏎타락하진 않았겠지?⏎금 {V:65}쯤은 내놓게!
M07164.1	dlg	28	3	{V:03DA}ほどの人物だ⏎金{V:65}くらいなければ⏎話にならぬな！	{V:03DA}쯤 되는 인물일세⏎금 {V:65}도 없이는⏎이야기가 안 되지!
M07164.2	dlg	28	3	今までの経緯を思えば⏎金{V:65}程度、⏎安いとは思わぬか？	지금까지의 일을 생각하면⏎금 {V:65} 정도는⏎싸다고 생각하지 않나?
M07165.0	dlg	28	2	金{V:65}を頂けるなら⏎引き渡しましょう	금 {V:65}만 주신다면⏎넘겨 드리지요
M07165.1	dlg	28	3	金{V:65}が条件です⏎呑んでいただけるなら⏎解放しましょう	조건은 금 {V:65}입니다⏎받아들여 주신다면⏎석방하겠습니다
M07165.2	dlg	28	3	{V:03DA}のためならば⏎金{V:65}くらい⏎惜しくはありますまい？	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지는 않으시겠지요?
M07166.0	dlg	28	2	金{V:65}を払うなら⏎引き渡そう	금 {V:65}만 낸다면⏎넘겨주지
M07166.1	dlg	28	3	金{V:65}が条件だな⏎呑んでもらえるなら⏎解放しよう	조건은 금 {V:65}일세⏎받아들여 준다면⏎석방하지
M07166.2	dlg	28	3	{V:03DA}のためならば⏎金{V:65}くらい⏎惜しくはあるまい？	{V:03DA}의 안위를 위해서라면⏎금 {V:65}쯤⏎아깝지 않겠지?
M07168.0	dlg	28	3	無理を通すのです⏎せめて{V:1543}を⏎譲っていただきたいのですが	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07168.1	dlg	28	3	お互いと{V:03DA}のためです⏎{V:1543}を⏎譲っていただけませんか？	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁드릴 수 없겠습니까?
M07168.2	dlg	28	3	申し訳ありませんが⏎{V:1543}くらいは⏎頂けませんか？	죄송합니다만⏎{V:1543}쯤은⏎주실 수 없겠습니까?
M07169.0	dlg	28	3	無理を通すのよ⏎せめて{V:1543}を⏎譲ってほしいわ	이쪽도 무리를 하는 거예요⏎적어도 {V:1543}만큼은⏎넘겨주면 좋겠어요
M07169.1	dlg	28	3	お互いと{V:03DA}のためよ⏎{V:1543}を⏎譲ってもらいたいわね	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁하고 싶네요
M07169.2	dlg	28	3	申し訳ないけれど⏎{V:1543}くらいは⏎譲ってもらえないかしら？	미안하지만⏎{V:1543}쯤은⏎넘겨줄 수 없을까요?
M07170.0	dlg	28	3	随分と虫が良い話ですね⏎{V:1543}くらい⏎用意できませんか？	꽤나 염치없는 이야기로군요⏎{V:1543}쯤⏎준비하실 수 없습니까?
M07170.1	dlg	28	3	{V:1543}くらいなければ⏎話になりません⏎嫌なら帰ってもらいます	{V:1543}도 없이는⏎이야기가 안 됩니다⏎싫으시면 돌아가 주십시오
M07170.2	dlg	28	3	{V:1543}を頂けるなら⏎それなりの誠意を⏎認めましょう	{V:1543}만 주신다면⏎그런대로 성의는⏎인정하겠습니다
M07171.0	dlg	28	3	随分と虫が良い話ね！⏎{V:1543}くらい⏎用意できないのかしら？	꽤나 염치없는 이야기네요!⏎{V:1543}쯤은⏎준비할 수 없나요?
M07171.1	dlg	28	3	{V:1543}くらいなければ⏎話にならないわ！⏎嫌なら帰っても良いのよ	{V:1543}도 없이는⏎이야기가 안 돼요!⏎싫으면 돌아가도 좋아요
M07171.2	dlg	28	3	{V:1543}を差し出せば⏎それなりの誠意を⏎認めてあげるわ	{V:1543}만 내놓는다면⏎그런대로 성의는⏎인정해 드리지요
M07172.0	dlg	28	3	{V:03DA}ほどの人物です⏎{V:1543}を頂けるなら⏎引き渡しましょう	{V:03DA}쯤 되는 인물입니다⏎{V:1543}만 주신다면⏎넘겨 드리지요
M07172.1	dlg	28	3	{V:1543}が条件です⏎譲っていただけるなら⏎喜んで解放しましょう	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 석방하겠습니다
M07172.2	dlg	28	3	{V:03DA}のためならば⏎{V:1543}くらい⏎惜しくはないでしょう？	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않으시겠지요?
M07173.0	dlg	28	3	{V:03DA}ほどの人物よ⏎{V:1543}をもらえるなら⏎引き渡しましょう	{V:03DA}쯤 되는 인물이에요⏎{V:1543}만 준다면⏎넘겨 드리지요
M07173.1	dlg	28	3	{V:1543}が条件ね⏎譲ってもらえるなら⏎喜んで解放しましょう	{V:1543}, 그게 조건이에요⏎넘겨준다면⏎기꺼이 석방하지요
M07173.2	dlg	28	3	{V:03DA}のためならば⏎{V:1543}くらい⏎惜しくはないでしょう？	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않으시겠지요?
M07174.0	dlg	28	3	無理を通すのです⏎せめて{V:1543}を⏎譲っていただきたいのですが	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주셨으면 합니다만
M07174.1	dlg	28	3	お互いと{V:03DA}のためです⏎{V:1543}を⏎譲ってはいただけませぬか？	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁드려도 되겠습니까?
M07174.2	dlg	28	3	申し訳ありませんが⏎{V:1543}くらいは⏎頂けませぬか？	죄송합니다만⏎{V:1543}쯤은⏎주시지 않겠습니까?
M07175.0	dlg	28	3	無理を通すのだ⏎せめて{V:1543}を⏎譲ってほしいのだが……	이쪽도 무리를 하는 것이니⏎적어도 {V:1543}만큼은⏎넘겨주었으면 하는데……
M07175.1	dlg	28	3	お互いと{V:03DA}のためだ⏎{V:1543}を⏎譲ってはくれぬか？	양측과 {V:03DA} 본인을 위해⏎{V:1543}의 양도를⏎부탁할 수 없겠나?
M07175.2	dlg	28	3	申し訳ないが⏎{V:1543}くらいは⏎譲ってもらえぬか？	미안하네만⏎{V:1543}쯤은⏎넘겨줄 수 없겠나?
M07176.0	dlg	28	3	随分と虫が良い話ですね⏎{V:1543}くらい⏎用意できませんか？	꽤나 염치없는 이야기로군요⏎{V:1543}쯤⏎준비하실 수 없습니까?
M07176.1	dlg	28	3	{V:1543}くらいなければ⏎話になりませぬ⏎嫌なら帰ってもらいます	{V:1543}도 없이는⏎이야기가 되지 않습니다⏎싫으시면 돌아가 주시지요
M07176.2	dlg	28	3	{V:1543}を頂けるなら⏎それなりの誠意を⏎認めましょう	{V:1543}만 주신다면⏎그런대로 성의는⏎인정하겠습니다
M07177.0	dlg	28	3	随分と虫が良い話だな⏎{V:1543}くらい⏎用意できぬのか？	꽤나 염치없는 이야기로군⏎{V:1543}쯤은⏎준비할 수 없단 말인가?
M07177.1	dlg	28	3	{V:1543}くらいなければ⏎話にならぬな⏎嫌なら帰ってもらおう	{V:1543}도 없이는⏎이야기가 안 되겠군⏎싫다면 돌아가 주게
M07177.2	dlg	28	3	{V:1543}を差し出せば⏎それなりの誠意を⏎認めてやろう	{V:1543}만 내놓는다면⏎그런대로 성의는⏎인정해 주지
M07178.0	dlg	28	3	{V:03DA}ほどの人物です⏎{V:1543}を頂けるなら⏎引き渡しましょう	{V:03DA}쯤 되는 인물입니다⏎{V:1543}만 주신다면⏎넘겨 드리지요
M07178.1	dlg	28	3	{V:1543}が条件です⏎譲っていただけるなら⏎喜んで解放しましょう	조건은 {V:1543}입니다⏎넘겨주신다면⏎기꺼이 석방하겠습니다
M07178.2	dlg	28	3	{V:03DA}のためならば⏎{V:1543}くらい⏎惜しくはありますまい？	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지는 않으시겠지요?
M07179.0	dlg	28	3	{V:03DA}ほどの人物だ⏎{V:1543}をもらえるなら⏎引き渡そう	{V:03DA}쯤 되는 인물일세⏎{V:1543}만 준다면⏎넘겨주지
M07179.1	dlg	28	3	{V:1543}が条件だ⏎譲ってもらえるなら⏎喜んで解放しよう	조건은 {V:1543}일세⏎넘겨준다면⏎기꺼이 석방하지
M07179.2	dlg	28	3	{V:03DA}のためならば⏎{V:1543}くらい⏎惜しくはあるまい？	{V:03DA}의 안위를 위해서라면⏎{V:1543}쯤⏎아깝지 않겠지?
