offset	ja	ko
0x355810	%s 戦略中	%s 전략중
0x355820	、他%d勢力	 외 %d세력
0x355830	使者	사자
0x355838	%d名	%d명
0x355840	隊	대
0x355848	名前	이름
0x355B58	所属	소속
0x355B60	勢力	세력
0x355B68	状態	상태
0x355B70	詳細	상세
0x3568A0	所属	소속
0x3568A8	勢力	세력
0x3568B0	効果	효과
0x3568B8	武将	무장
0x3568C0	戦力	전력
0x3568C8	状態	상태
0x3568D0	詳細	상세
0x3568D8	輸送	수송
0x3568E0	委任	위임
0x3568E8	移動	이동
0x3568F0	焼討	화공
0x3568F8	奪取	탈취
0x356900	要請	요청
0x356908	地図	지도
0x356910	所属	소속
0x356918	効果	효과
0x356920	武将	무장
0x356928	戦力	전력
0x356930	状態	상태
0x356938	詳細	상세
0x356940	所在	소재
0x356948	探索	탐색
0x356950	所在	소재
0x356958	所属	소속
0x356960	効果	효과
0x356968	武将	무장
0x356970	戦力	전력
0x356978	状態	상태
0x356980	内政	내정
0x356988	収入	수입
0x356990	隣接	인접
0x356998	詳細	상세
0x3569A0	地図	지도
0x3569A8	所属	소속
0x3569B0	効果	효과
0x3569B8	武将	무장
0x3569C0	戦力	전력
0x3569C8	状態	상태
0x3569D0	内政	내정
0x3569D8	収入	수입
0x3569E0	隣接	인접
0x3569E8	詳細	상세
0x3569F0	委任	위임
0x3569F8	所在	소재
0x356A00	配置	배치
0x356A08	所属	소속
0x356A10	方針	방침
0x356A18	戦力	전력
0x356A20	金	금
0x356A28	兵糧	병량
0x356A30	詳細	상세
0x356A38	委任	위임
0x356A40	詳細	상세
0x356A48	特徴	특징
0x356A50	状態	상태
0x356A58	所属	소속
0x356A60	戦力	전력
0x356A68	金	금
0x356A70	兵糧	병량
0x356A78	外交	외교
0x356A80	要請	요청
0x356A88	詳細	상세
0x356A90	地図	지도
0x356A98	状態	상태
0x356AA0	所属	소속
0x356AA8	戦力	전력
0x356AB0	金	금
0x356AB8	兵糧	병량
0x356AC0	外交	외교
0x356AC8	要請	요청
0x356AD0	詳細	상세
0x356AD8	委任	위임
0x356AE0	流言	유언
0x356AE8	流言	유언
0x356AF0	要請	요청
0x356AF8	贈呈	증정
0x356B00	勧告	권고
0x356B08	選択	선택
0x356B10	選択	선택
0x356B18	特徴	특징
0x356B20	説明	설명
0x356B28	種類	종류
0x356B30	特徴	특징
0x356B38	護符１	호부1
0x356B40	護符２	호부2
0x356B48	護符３	호부3
0x356B50	詳細	상세
0x356B58	特徴	특징
0x356B60	種類	종류
0x356B68	詳細	상세
0x356B70	特徴	특징
0x356B78	就任	취임
0x356B80	勢力	세력
0x356B88	説明	설명
0x356B90	説明	설명
0x356B98	所属	소속
0x356BA0	能力	능력
0x356BA8	勢力	세력
0x356BB0	所属	소속
0x356BB8	命令	명령
0x356BC0	爵位	작위
0x356BC8	個人	개인
0x356BD0	能力経験	능력경험
0x356BE0	能力限界	능력한계
0x356BF0	歩兵	보병
0x356BF8	騎兵	기병
0x356C00	弓騎	궁기
0x356C08	弩兵	노병
0x356C10	水軍	수군
0x356C18	攻城	공성
0x356C20	知識	지식
0x356C28	謀略	모략
0x356C30	策略	책략
0x356C38	詳細	상세
0x356C40	能力	능력
0x356C48	歩兵	보병
0x356C50	騎兵	기병
0x356C58	弓騎	궁기
0x356C60	弩兵	노병
0x356C68	水軍	수군
0x356C70	攻城	공성
0x356C78	知識	지식
0x356C80	謀略	모략
0x356C88	策略	책략
0x356C90	歩兵	보병
0x356C98	騎兵	기병
0x356CA0	弓騎	궁기
0x356CA8	弩兵	노병
0x356CB0	水軍	수군
0x356CB8	攻城	공성
0x356CC0	知識	지식
0x356CC8	謀略	모략
0x356CD0	策略	책략
0x356CD8	登用	등용
0x356CE0	出陣	출진
0x356CE8	建設	건설
0x356CF0	輸送	수송
0x356CF8	軍師	군사
0x356D00	爵位	작위
0x356D08	褒美	포상
0x356D10	授与	수여
0x356D18	処断	처단
0x356D20	追放	추방
0x356D28	巡察	순찰
0x356D30	商業	상업
0x356D38	開墾	개간
0x356D40	改修	개수
0x356D48	徴兵	징병
0x356D50	訓練	훈련
0x356D58	購入	구입
0x356D60	売却	매각
0x356D68	呼寄	호출
0x356D70	移動	이동
0x356D78	探索	탐색
0x356D80	登用	등용
0x356D88	偽報	위보
0x356D90	撹乱	교란
0x356D98	激励	격려
0x356DA0	救援	구원
0x356DA8	離間	이간
0x356DB0	離間	이간
0x356DB8	焼討	화공
0x356DC0	奪取	탈취
0x356DC8	流言	유언
0x356DD0	贈呈	증정
0x356DD8	要請	요청
0x356DE0	要請	요청
0x356DE8	返還	반환
0x356DF0	返還	반환
0x356DF8	勧告	권고
0x356E00	配置	배치
0x356E08	取消	취소
0x356E10	登場	등장
0x356E18	変更	변경
0x356E20	削除	삭제
0x356E28	親	부모
0x356E30	相性	상성
0x356E38	君主	군주
0x356E40	相国	상국
0x356E48	元帥	원수
0x356E50	都護	도호
0x356E58	後継	후계
0x356E60	武将	무장
0x356E68	武将	무장
0x356E70	武将	무장
0x356E78	君主	군주
0x356E80	育成	육성
0x356E88	編集	편집
0x356E90	能力	능력
0x356E98	特徴	특징
0x356EA0	効果	효과
0x356EA8	説明	설명
0x356EB0	詳細	상세
0x356EB8	特徴	특징
0x356EC0	勢力	세력
0x356EC8	武将	무장
0x356ED0	戦力	전력
0x356ED8	陸上	육상
0x356EE0	水上	수상
0x356EE8	命令	명령
0x356EF0	方針	방침
0x356EF8	詳細	상세
0x356F00	偽報	위보
0x356F08	撹乱	교란
0x356F10	激励	격려
0x356F18	救援	구원
0x356F20	地図	지도
0x35ABB8	状態	상태
0x35C970	今後ＣＤから読み込みます	앞으로 CD에서 불러옵니다
0x35D180	※勢力データが無効	※세력 데이터 무효
0x35D520	※ユーザー軍団ではない	※유저 군단이 아님
0x3603A0	%sの説明文が用意されていません！	%s의 설명문이 없습니다!
0x360460	%sのダイアログメッセージが設定されていません	%s의 대화창 메시지가 설정되지 않았습니다
0x360490	%sのダイアログメッセージが設定されていません	%s의 대화창 메시지가 설정되지 않았습니다
0x361840	三國志Ⅸ with パワーアップキット	삼국지Ⅸ with 파워업 키트
0x362168	三國志Ⅷ	삼국지Ⅷ
0x362180	三國志Ⅷ with パワーアップキット	삼국지Ⅷ with 파워업 키트
0x364B70	データ編集	데이터편집
0x364B80	武将編集	무장편집
0x364B90	初期化	초기화
0x364B98	得意	특기
0x364BA0	最大収益	최대수익
0x364BB0	最大収穫	최대수확
0x364BC0	兵役人口	병역인구
0x364BD0	一般人口	일반인구
0x364BE0	指導内容	지도내용
0x364BF0	指導方針	지도방침
0x364C00	厳格	엄격
0x364C08	堅実	견실
0x364C10	親身	친절
0x364C18	指導武将	지도무장
0x364C28	軍団編集	군단편집
0x364C38	都市編集	도시편집
0x364C48	施設編集	시설편집
0x364C58	障害物編集	장애물편집
0x364C68	義理	의리
0x364C70	野望	야망
0x364C78	相性	상성
0x364C80	寿命	수명
0x364C88	忠誠	충성
0x364C90	内政	내정
0x364C98	強さ	공격
0x364CA0	表示	표시
0x364CA8	非表示	숨김
0x364CB0	あり	있음
0x364CB8	なし	없음
0x364CC0	敵戦力の設定	적 전력 설정
0x364CD0	兵士の抜擢	병사 발탁
0x364CE0	勢力の統合	세력 통합
0x364CF0	部隊の命令	부대 명령
0x364D00	部隊の兵法	부대 병법
0x364D10	武将の討死	무장 전사
0x364D20	武将編集の反映	무장편집 반영
0x364D30	兵法を編み出す	병법 고안
0x364D40	知識を授ける	지식 전수
0x364D50	集中講義を行う	집중 강의
0x364D60	特訓を行う	특별 훈련
0x364D70	教練に参加する	교련 참가
0x364D80	手軽な兵法を学ぶ	쉬운 병법 학습
0x364DA0	難しい兵法を学ぶ	어려운 병법 학습
0x364DB8	武術を鍛える	무술 단련
0x364DC8	弓術を鍛える	궁술 단련
0x364DD8	馬術を鍛える	기마술 단련
0x364DE8	操船を学ぶ	항해 학습
0x364DF8	敷設を学ぶ	부설 학습
0x364E08	医術を学ぶ	의술 학습
0x364E18	精神論を説く	정신론 설파
0x364E28	山奥にこもる	산속 칩거
0x364E40	指導武将に任せる	지도무장 재량
0x364E58	非凡	비범
0x364E60	有能	유능
0x364E68	平凡	평범
0x364E70	未熟	미숙
0x364E78	十分	충분
0x364E80	程々	적당
0x364E88	若干	약간
0x364E90	皆無	전무
0x364E98	劇的	극적
0x364EA0	良好	양호
0x364EA8	平凡	평범
0x364EB0	不振	부진
0x364EB8	傑出	걸출
0x364EC0	抜群	발군
0x364EC8	有望	유망
0x364ED0	月並	보통
0x364ED8	ストーリー選択	스토리 선택
0x364EF0	覇の章（曹家編）	패의 장(조씨편)
0x364F10	情の章（孫家編）	정의 장(손씨편)
0x364F30	忠の章（劉家編）	충의 장(유씨편)
0x364F50	武の章（呂布編）	무의 장(여포편)
0x364F70	孝の章（馬超編）	효의 장(마초편)
0x364F88	障害物選択	장애물선택
0x364F98	現在	현재
0x364FA0	素質	소질
0x364FA8	成果	성과
0x364FB0	余力	여력
0x364FB8	能力報告	능력보고
0x364FC8	訓練成果	훈련성과
0x364FD8	登録アイテム	등록 아이템
0x364FE8	登場	등장
0x364FF0	未登場	미등장
0x364FF8	ルール設定	규칙설정
0x365010	特性選択	특성선택
0x365020	兵法選択	병법선택
0x365030	性格選択	성격선택
0x365040	能力設定	능력설정
0x365050	個人設定	개인설정
0x365060	設定完了	설정완료
0x365070	兵法設定	병법설정
